Company,Symbol,ISIN Code
Tata Elxsi Ltd.,TATAELXSI.NS,INE670A01012
Tata Global Beverages Ltd.,TATAGLOBAL.NS,INE192A01025
Tata Investment Corporation Ltd.,TATAINVEST.NS,INE672A01018
Tata Motors Ltd DVR,TATAMTRDVR.NS,IN9155A01020
Tata Motors Ltd.,TATAMOTORS.NS,INE155A01022
Tata Power Co. Ltd.,TATAPOWER.NS,INE245A01021
Tata Sponge Iron Ltd.,TATASPONGE.NS,INE674A01014
Tata Steel Ltd.,TATASTEEL.NS,INE081A01012
Teamlease Services Ltd.,TEAMLEASE.NS,INE985S01024
Tech Mahindra Ltd.,TECHM.NS,INE669C01036
Texmaco Rail & Eng. Ltd.,TEXRAIL.NS,INE621L01012
The New India Assurance Company Ltd.,NIACL.NS,INE470Y01017
The Ramco Cements Ltd.,RAMCOCEM.NS,INE331A01037
Thermax Ltd.,THERMAX.NS,INE152A01029
Thomas Cook (India) Ltd.,THOMASCOOK.NS,INE332A01027
Thyrocare Technologies Ltd.,THYROCARE.NS,INE594H01019
Time Technoplast Ltd.,TIMETECHNO.NS,INE508G01029
Timken India Ltd.,TIMKEN.NS,INE325A01013
Titan Company Ltd.,TITAN.NS,INE280A01028
Torrent Pharmaceuticals Ltd.,TORNTPHARM.NS,INE685A01028
Torrent Power Ltd.,TORNTPOWER.NS,INE813H01021
Trent Ltd.,TRENT.NS,INE849A01020
Trident Ltd.,TRIDENT.NS,INE064C01014
Tube Investments of India Ltd.,TIINDIA.NS,INE974X01010
UCO Bank,UCOBANK.NS,INE691A01018
UFLEX Ltd.,UFLEX.NS,INE516A01017
UPL Ltd.,UPL.NS,INE628A01036
Ujjivan Financial Services Ltd.,UJJIVAN.NS,INE334L01012
UltraTech Cement Ltd.,ULTRACEMCO.NS,INE481G01011
Unichem Laboratories Ltd.,UNICHEMLAB.NS,INE351A01035
Union Bank of India,UNIONBANK.NS,INE692A01016
United Breweries Ltd.,UBL.NS,INE686F01025
United Spirits Ltd.,MCDOWELL-N.NS,INE854D01024
V-Guard Industries Ltd.,VGUARD.NS,INE951I01027
V-Mart Retail Ltd.,VMART.NS,INE665J01013
V.I.P. Industries Ltd.,VIPIND.NS,INE054A01027
VRL Logistics Ltd.,VRLLOG.NS,INE366I01010
Va Tech Wabag Ltd.,WABAG.NS,INE956G01038
Vakrangee Ltd.,VAKRANGEE.NS,INE051B01021
Vardhman Textiles Ltd.,VTL.NS,INE825A01012
Varroc Engineering Ltd.,VARROC.NS,INE665L01035
Varun Beverages Ltd.,VBL.NS,INE200M01013
Vedanta Ltd.,VEDL.NS,INE205A01025
Venky's (India) Ltd.,VENKEYS.NS,INE398A01010
Vinati Organics Ltd.,VINATIORGA.NS,INE410B01029
Vodafone Idea Ltd.,IDEA.NS,INE669E01016
Voltas Ltd.,VOLTAS.NS,INE226A01021
WABCO India Ltd.,WABCOINDIA.NS,INE342J01019
Welspun Corp Ltd.,WELCORP.NS,INE191B01025
Welspun India Ltd.,WELSPUNIND.NS,INE192B01031
Whirlpool of India Ltd.,WHIRLPOOL.NS,INE716A01013
Wipro Ltd.,WIPRO.NS,INE075A01022
Wockhardt Ltd.,WOCKPHARMA.NS,INE049B01025
Yes Bank Ltd.,YESBANK.NS,INE528G01027
Zee Entertainment Enterprises Ltd.,ZEEL.NS,INE256A01028
Zensar Technolgies Ltd.,ZENSARTECH.NS,INE520A01027
Zydus Wellness Ltd.,ZYDUSWELL.NS,INE768C01010
eClerx Services Ltd.,ECLERX.NS,INE738I01010
